name,status,png,raw_segments,kept_segments,masked_fraction,background_level,background_rms,error
NGC4457,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4457_sep_thr2.5_area15_deb0.0001_dil2.png,725,724,0.06045929372611857,0.05742589384317398,0.013113505207002163,
NGC4487,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4487_sep_thr2.5_area15_deb0.0001_dil2.png,862,861,0.02977720801149858,0.09474514424800873,0.02583145536482334,
NGC4496A,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4496A_sep_thr2.5_area15_deb0.0001_dil2.png,545,543,0.053088949360640195,0.05286154896020889,0.015157842077314854,
NGC4498,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4498_sep_thr2.5_area15_deb0.0001_dil2.png,892,891,0.07410327767470624,0.03405936807394028,0.01178430113941431,
NGC4525,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4525_sep_thr2.5_area15_deb0.0001_dil2.png,351,350,0.018375979395263534,0.060221269726753235,0.016233695670962334,
NGC4532,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4532_sep_thr2.5_area15_deb0.0001_dil2.png,738,738,0.0680903830256269,0.056937187910079956,0.013060411438345909,
NGC4535,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4535_sep_thr2.5_area15_deb0.0001_dil2.png,2001,2000,0.041762480414761216,0.06726530194282532,0.020971905440092087,
NGC4540,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4540_sep_thr2.5_area15_deb0.0001_dil2.png,377,376,0.03083559743697657,0.07024756073951721,0.01648440770804882,
NGC4559,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4559_sep_thr2.5_area15_deb0.0001_dil2.png,1978,1974,0.05795600152144699,0.014840609394013882,0.009988509118556976,
NGC4579,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4579_sep_thr2.5_area15_deb0.0001_dil2.png,870,868,0.04285201936078858,0.0386449471116066,0.012504344806075096,
NGC4618,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4618_sep_thr2.5_area15_deb0.0001_dil2.png,440,439,0.0633139984008023,0.007949044927954674,0.013485321775078773,
NGC4625,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4625_sep_thr2.5_area15_deb0.0001_dil2.png,474,473,0.06556575292839029,0.0042145587503910065,0.008690950460731983,
NGC4639,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4639_sep_thr2.5_area15_deb0.0001_dil2.png,458,457,0.05541455540110309,0.04466943070292473,0.012108152732253075,
NGC4654,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4654_sep_thr2.5_area15_deb0.0001_dil2.png,448,446,0.05712191885280807,0.04002506285905838,0.014566551893949509,
NGC4668,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4668_sep_thr2.5_area15_deb0.0001_dil2.png,340,339,0.019405772484967023,0.08885975182056427,0.016693487763404846,
NGC4713,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4713_sep_thr2.5_area15_deb0.0001_dil2.png,439,437,0.04853661651342064,0.14601123332977295,0.017286516726017,
NGC4725,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4725_sep_thr2.5_area15_deb0.0001_dil2.png,1396,1392,0.04980953701624233,0.01475315261632204,0.012268147431313992,
NGC4765,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4765_sep_thr2.5_area15_deb0.0001_dil2.png,328,327,0.022612293514716483,0.05679406225681305,0.02560219168663025,
NGC4781,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4781_sep_thr2.5_area15_deb0.0001_dil2.png,889,888,0.031711804956586744,0.058267902582883835,0.022632166743278503,
NGC4900,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4900_sep_thr2.5_area15_deb0.0001_dil2.png,322,321,0.05154197337473603,0.09054900705814362,0.01488538458943367,
